T,sx,sy,sz
0.01000000000000000020816681711721685132943093776702880859375,-4.569358891130875697538604823598606875911735254053037476887251231179601302340426e-09,5.662727472854626924283607215923381366698239645224085685502815014485414916792081e-17,0.9883865642584186910170611257671283317984055145364615446583496008000331592896185
0.01123324032978027624263273054339151713065803050994873046875,-4.996429994394638624044610056771408416306775661943779967389314457037472042845197e-14,-7.150745509277652348899931229433446101340061653579243788890629719400840910037609e-18,0.9869615814535450067950130885037748208759766721401739327142819043585174480678751
0.012618568830660203961002707728766836225986480712890625,-8.148184763905908048331442746478657289590049909886928568028257622303791823202099e-13,6.821711710259440005238446997503641438855243821031226769992027634103613610875199e-17,0.9853627178130004223759198011531340200291535170479071611201284403099398317910221
0.0141747416292680554483762733752882922999560832977294921875,-9.423077634603591706291427622555006426594497588004742507469647902859141245992517e-12,-8.181078841643319343449746366309435495753855806957950059211476328121949109162288e-18,0.9835689989046956337688495811624847703198415480511280829568216408976308475725265
0.0159228279334109219800286183499338221736252307891845703125,-7.872944946196267165417412975980671319592962800560391754857863379678566956081797e-11,3.350591729409476198969288666458133893784840136500706739346253335455352982293715e-17,0.9815569801116847550670292022650236541278236115981809074697836250946568231784964
0.017886495290574351557655319311379571445286273956298828125,-4.917375132898656817970137718686074515368356227070686964424127400140229494364887e-10,3.253477478081435789471775798114994956333595523613831319619790474645526043119019e-17,0.9793004700087208231577660979022407568616933096059796183632243253573893732668275
0.0200923300256504698546589082752689137123525142669677734375,-2.369100709971925802547803368554832743858450178158689081472488887725375358828192e-09,3.174701655275539673784105752251778634536264733591152678427502866473926275684886e-17,0.9767702260219648153065232022851398717987486095181616826809321200745758084123752
0.022570197196339202017068004124666913412511348724365234375,-9.055165347351311578799349777764464496332053342604888456462427574960843942501537e-09,3.089364474765255832550261489435556009498115247699766800399061472387189934153532e-17,0.973933620290854060418398632423275576181625220990761550699914205836441862296489
0.0253536449397011136308588419296938809566199779510498046875,-7.006559561766633880294836219895119285806376376722725696928183634214733349061778e-12,2.953964175457819645550913276606084809355396384213930679799723405381885791404739e-17,0.9707542736302174983833756645786845531843307196789079911113949606129537067566556
0.028480358684358018928062250552102341316640377044677734375,-5.372706538076832177461792816847143960030388759742361613971203136309320492133484e-11,-1.335480162018700129023283838619685396265453056093598230502488382549926020223753e-17,0.9671916554938821124045133371193814503696539195776689087319975933938985587438943
0.031992671377973826152274483547444106079638004302978515625,-3.105893825027094779729561140607901838664875876446552346387780863011810769979868e-10,4.501139963025820198913384954402313754370603951655760982835650747737661258769388e-18,0.9632006478691548905698957927292479306431215604601005432659001938421928515026713
0.03593813663804627800413271643265034072101116180419921875,-1.395979862821142570595602292180860728273696274696634773190415123687762084539322e-09,-1.57337172450786096003442830215078421170830605405188341425357248917251670589538e-17,0.9587310710835801514924028391030376514869432095727048831023508878893346464572602
