T,sx,sy,sz
0.01000000000000000020816681711721685132943093776702880859375,-4.535521460368952344401744944074761298738026853256872490739543560611212634949707e-18,-5.57552204754560113804867579098616011567345666604794388283599604837300701206641e-18,0.9900000000000000506704576403631735241990999647564623054315229086113265642315746
0.01123324032978027624263273054339151713065803050994873046875,-4.68721402530521893331627323582416838480623118066146763957626712800378043277883e-18,-5.999407118092460856322493291697747802136851874992916726929668668489051025717009e-18,0.9887667596702197763160587252115592017959984389122871750985916653287584680686856
0.012618568830660203961002707728766836225986480712890625,-4.842213239271823926114553297039613706344448493208995743315122311284901947808169e-18,-6.448382319862743192790566654723388095760079822337432796152097053217878934669655e-18,0.9873814311693397934372682826057605717707797333299329081355338284994760331053949
0.0141747416292680554483762733752882922999560832977294921875,-5.005017107205893641143207047232980871360915882112281161523878001464460237075e-18,-6.939370101406217262304672838651350156390494637391215773625548883946889610637925e-18,0.9858252583707304017551659179861074176837921097648366748414256632612943533366529
0.0159228279334109219800286183499338221736252307891845703125,-5.182959887129940869931148770013004452194518746501404387784814831274312187193826e-18,-7.494164395705989028159352610273590382555955638697683175306481437707167918119312e-18,0.9840771720665890835457766509952740944593821231190014103786139333164879083124262
0.017886495290574351557655319311379571445286273956298828125,-5.383940735835015322209063693227950469873746452110456466013214739978735464626486e-18,-8.133636011687397569424495581358039577606751066353520980269507766611641782880146e-18,0.9821135047094256483580377879127394137531010342817114121896111825440800043572848
0.0200923300256504698546589082752689137123525142669677734375,-5.614229953778554154289284343289755295641241515638391020023517912171224115588734e-18,-8.872428458676911454668357532558775564338797738116131490099716465306645135346772e-18,0.9799076699743495223013798463755715466406026953292577773877066740661031160091544
0.022570197196339202017068004124666913412511348724365234375,-5.877297489473009947161703856187091267044627582993283078891961682668842241775971e-18,-9.716169579733445974992531825569008926761758467295306879841185079904096541884876e-18,0.9774298028036608330642097502493093389756163004599219892681877728219499118990354
0.0253536449397011136308588419296938809566199779510498046875,-6.173227796079716605757319187426019594210186190489883222079318805985323616243253e-18,-1.066186101338400091153001650135397475993428259473100803905912064542910599871336e-17,0.9746463550602989084968170465818400489004421705961036136942369933788408336924318
0.028480358684358018928062250552102341316640377044677734375,-6.500577699389192601972545195235315988502314014529955834245836789722326913524531e-18,-1.170067415474444754736946216865528746241194118351815593831527727605985435462052e-17,0.9715196413156419195812837795522348816252021288184931477747085627458671878671447
0.031992671377973826152274483547444106079638004302978515625,-6.848970315374748537748785052893071346861870030324438428090773466400756097230809e-18,-1.282057827306506663286520872246660100242262682082102524040506949468042217597323e-17,0.9680073286220261173850269162669486328152709029015804803596104830614864051684692
0.03593813663804627800413271643265034072101116180419921875,-7.200955521724105266176791618035235511816792094016716094626013215644700110825098e-18,-1.400606925348267056886844934013431367446371201826850256928950080731320571401738e-17,0.9640618633619536920408498280038441627379581282442875045751012916338228087471815
0.0403701725859655358163990968023426830768585205078125,-7.58020511229305761360744767182247933131294161538267004151615131136646489878639e-18,-1.526523762546383150007337798918572609200115402959974307444963694348583425845245e-17,0.959629827414034415544954521213162621673644673845442846589850478175344552494094
0.045348785081285820919294593522863578982651233673095703125,-7.956115773429599176755221731569942996026062321885499371281889138121590162019563e-18,-1.654351672491376080455280674383181275938271291214525375572571123388466533152456e-17,0.9546512149187141455858568971832082956717166589455250620695969043448438549098623
0.050941380148163774299607808870860026217997074127197265625,-8.193613778078286790773842492096420352252348828089298432074351839553101888373121e-18,-1.781518821175320855161659378509461607606611082846830168629665393744503749999684e-17,0.9490586198518362508697019074219724790151890600170512756399572030471320429860677
0.057223676593502172116334492102396325208246707916259765625,-8.205072963585780944944100745455966997048729995209155014560551314094259411788305e-18,-1.902367080576516258158151858816646885044405249817414627237305495897381849869301e-17,0.94277632340649913686186999573671543900481716759779077660981079574621455763616
0.064280731172843219578538764835684560239315032958984375,-7.459813399231149927673237541408687234030196818241676345404872688101589293236835e-18,-2.008818396173081361890405040096186108603541815048507594996991231012808785441796e-17,0.9357192688272190733910685237713913255297590829712652809947388996202855947799171
0.07220809018385464239653259710394195280969142913818359375,-6.245278905183183431794974490670250250743284576187711375218991806999690744322587e-18,-2.092951079397691493416458035684008665738657042548817301876129681550330291727777e-17,0.9277919098180162669035617233796417949363298327759437404893922730821038397623547
0.0811130830789687229387396882884786464273929595947265625,-6.949270333038793514164991910291596663341444872241776386583388524391264036454892e-18,-2.273643060932126253582184863830481438957458348840026434323879974606776056715011e-17,0.9188869169601747130043010478328788548552851703225643567839191958286416224223676
0.0911162756115489191888201503388700075447559356689453125,-5.429845515164193384141262688004494225188608468804239039924941988434795749458014e-18,-2.380045840816483725170270745254086146239901806976998086884130753771566449229792e-17,0.908883724974963020539437845903888475847886734832748173085764086298476886187226
0.10235310218990260888727306110013159923255443572998046875,-5.990974124698098124650212308422823138072042951769853331402300296893411732405315e-18,-2.467286982997697006771554704489234755841407248621515587445488032016738036416793e-17,0.8976469043388367739250773536735723985279459393388559348273839492498917544376083
