T,sx,sy,sz
0.01000000000000000020816681711721685132943093776702880859375,-3.768008531570138880145340042698969416598084345646969791332915561944780583663335e-18,-3.250025727522970553111682989553111855425661365570569642560554834624163417488675e-18,0.9971310745042874800850892167246057714075871516886892356121889309470890176525592
0.01123324032978027624263273054339151713065803050994873046875,-3.815146771744567606310166414870910195822813913667400929114755214641365169455427e-18,-3.304437992794508832134552727686348866238350328159207854135448311183067120857401e-18,0.9967756156283031186543944324882188401855079671113605163017327999932635176763089
0.012618568830660203961002707728766836225986480712890625,-3.836855885867877767612400960335168487915331751242917562288367849191275648397181e-18,-3.357712266511241873882063768137998139988674954845573152128208387441910722359654e-18,0.9963758819577447067289481870518541442593774286428457154142781485836407191658118
0.0141747416292680554483762733752882922999560832977294921875,-3.848391079911176643988290309707846508144002777556328779335198264372117385828682e-18,-3.429586463595671136785669108456322425966310254790526815287923409150473778045608e-18,0.9959262961586958725639100225963330656044257626256136835594836716319931547714516
0.0159228279334109219800286183499338221736252307891845703125,-3.86480835062557071736996561769781848935757613233817883894073916211076643314457e-18,-3.538932957325611193129267080968662183480153158459298836093746896830185151028972e-18,0.9954205613362595080670215820179260935899739540236759490584777366126639128983516
0.017886495290574351557655319311379571445286273956298828125,-3.898596593875838333008409409001471795914199805308655133741035498423032859928891e-18,-3.700330307225697961215982580359552945189149618524093031494567420214620326102777e-18,0.9948515635227996463243187454106625181220129604915783212920368518694578480972223
0.0200923300256504698546589082752689137123525142669677734375,-3.957778200298040793251622442460934869837259221405704841308673590436068806561061e-18,-3.92133006938178598833494237164322591150739571724781485164161316434350160768332e-18,0.9942112596383662043681679168967184006267823668223985274861683534122488851626684
0.022570197196339202017068004124666913412511348724365234375,-4.044971386076895714127935147206592605128142331628039623088784247659319577799203e-18,-4.201278226323417769115092884096008102169473135597336919750547364067041940901391e-18,0.993490548382656873446968708439377116932706957569964414051291962110094997125805
0.0253536449397011136308588419296938809566199779510498046875,-4.157694901493171338331050273646540745692373088292392578963087153440338739468298e-18,-4.532236729998777613573757082706166859621046380571721592983194947347222232984381e-18,0.9926791209639067006562190881678424801849808416575869882719812341862841267634157
0.028480358684358018928062250552102341316640377044677734375,-4.289895770204899708315368923102598976682344349921650602635766552751307543109077e-18,-4.902048857680405185904553839750465389555450689257181347717568793242675196354522e-18,0.9917652878625672427103609573516913532393713735860397613711971557880386940790558
0.031992671377973826152274483547444106079638004302978515625,-4.434349891715527596150659519815819090727703527897638620926651408002974356298736e-18,-5.298955211119747020239094046676315903870479361192261020290611967238287329672018e-18,0.9907357769134165387990653954713069371115619147955036478310521642406811760787574
0.03593813663804627800413271643265034072101116180419921875,-4.585291028802903609835746641775105968959959017280305157497381629168721483720569e-18,-5.716515604306113965778522469312226757913721479958607679752656845433498601133961e-18,0.9895754967932448479048961916207721308504067528922669632709562382520224312567661
0.0403701725859655358163990968023426830768585205078125,-4.740475395360301643498703686198584036500587632281159104187353724448475530455959e-18,-6.157198743366568634817624466986970350198151229073753671209962617922600953799936e-18,0.9882672584130788194016221040770486898803656883183695494403985857848660476271531
0.045348785081285820919294593522863578982651233673095703125,-4.902007194631659832748852487286659375016120362651184998249552956916269090166281e-18,-6.633198481783981461322518885726759351959084193710090352704671004043144088819206e-18,0.9867914445723634013714725638139221592089198270909488101950205815829843130937719
0.050941380148163774299607808870860026217997074127197265625,-5.075668314793265331156387623880848660260857036654743386546680704673629929864515e-18,-7.163947781182850568728949567118983811884422688852314528976793526075471763448573e-18,0.9851256152931832782884941345523061163802112677886440792993825945871383343419433
0.057223676593502172116334492102396325208246707916259765625,-5.269080837325123766081172713722140506270527381154272695741161005253299043467666e-18,-7.771138645777168675645536136781115037817037879086293777171097895972001024879149e-18,0.9832440321358988936067500410872973888089030466391998417078407830416771661472655
0.064280731172843219578538764835684560239315032958984375,-5.489514360525625553718812211832836182475420160292829583190380417318333161136927e-18,-8.473176058566851095653437471618852208831760432295828275270137534679268851028032e-18,0.9811170788950619122334197203588643823494625629458681466741897522995344293249111
0.07220809018385464239653259710394195280969142913818359375,-5.742264148934891463898407970876920073344503507966981639523880679599460752422483e-18,-9.281247688753035848172177069016238676327527781741804058592570371730828015694914e-18,0.9787105473698256270547343746306950083714411229933343531182457642584034280802233
0.0811130830789687229387396882884786464273929595947265625,-6.030182488906170134654052530151964431662244071102372678734751237204843337061033e-18,-1.019835279712993406192959333124512430462471491856158537520909686120918025296303e-17,0.9759847435661959021663800093255959243926437287321971156715513757884336003644889
