T,sxGS,syGS,szGS
0.001,-1.4959002491073293e-18,-1.5060866672619136e-18,0.9990000000000189
0.001059560179277616,-1.6571651678884357e-18,-1.6264183092040312e-18,0.9989404398207403
0.0011226677735108135,-1.8240360361970785e-18,-1.752035358805291e-18,0.9988773322265061
0.0011895340673703195,-1.9944197059184807e-18,-1.8811782062321156e-18,0.9988104659326458
0.0012603829296797275,-2.1661472278717602e-18,-2.0120245050420085e-18,0.9987396170703355
0.0013354515629298987,-2.337036876220183e-18,-2.142742032304467e-18,0.9986645484370846
0.0014149912974345759,-2.5049541041337786e-18,-2.2715393446155e-18,0.9985850087025792
0.0014992684327860455,-2.6678664912380253e-18,-2.3967128626357125e-18,0.998500731567227
0.0015885651294280528,-2.8238924349820694e-18,-2.5166896797592902e-18,0.9984114348705843
0.0016831803533309566,-2.9713430231763597e-18,-2.6300660350003212e-18,0.9983168196466691
0.0017834308769319094,-3.1087571218151724e-18,-2.735641916489853e-18,0.9982165691230681
0.0018896523396912095,-3.2349301431306654e-18,-2.832452567912324e-18,0.9981103476603088
0.0020022003718155844,-3.348937161834476e-18,-2.9197976706478206e-18,0.9979977996281845
0.00212145178491063,-3.450150991545066e-18,-2.997268626043602e-18,0.9978785482150894
0.002247805833548725,-3.538255531112221e-18,-3.0647736864955044e-18,0.9977521941664513
0.002381685551976158,-3.613254204670405e-18,-3.12255977886168e-18,0.9976183144480238
0.0025235391704347657,-3.675472757893276e-18,-3.171228897657784e-18,0.9974764608295652
0.0026738416158399465,-3.725555172490425e-18,-3.211746131099705e-18,0.99732615838416
0.002833096101839324,-3.764451159464342e-18,-3.2454359346846916e-18,0.9971669038981607
0.003001835813575589,-3.793393698387858e-18,-3.27396335232908e-18,0.9969981641864223
0.0031806256927941192,-3.813865459837041e-18,-3.2992975836713916e-18,0.9968193743072029
0.003370064329271928,-3.827553666917843e-18,-3.3236565761616896e-18,0.9966299356707244
0.003570785964900463,-3.836293936941811e-18,-3.3494330402776025e-18,0.9964292140350957
0.003783462617131929,-3.842004760470371e-18,-3.3791042202359054e-18,0.9962165373828641
0.004008806328898464,-3.846615361076102e-18,-3.4151296361283295e-18,0.9959911936710977
0.0042475715525368985,-3.8519905796568515e-18,-3.4598425938373708e-18,0.9957524284474595
0.004500557675700498,-3.8598570202248944e-18,-3.515342342096328e-18,0.9954994423242961
0.004768611697714469,-3.871734910977084e-18,-3.58339423583695e-18,0.9952313883022823
0.00505263106533568,-3.888879965274704e-18,-3.665345131187367e-18,0.9949473689346614
0.0053535666774107244,-3.912239013318271e-18,-3.7620605581216316e-18,0.9946464333225865
0.005672426068491977,-3.9424223910439636e-18,-3.87388910237516e-18,0.9943275739315055
0.006010276782070382,-3.979695102011054e-18,-4.000657989300398e-18,0.9939897232179273
0.006368249944718587,-4.023987683802485e-18,-4.141702174633636e-18,0.9936317500552793
0.006747544053110693,-4.074926563612276e-18,-4.295927338940966e-18,0.9932524559468893
0.007149428986597577,-4.131882508853886e-18,-4.461905050493379e-18,0.9928505710134025
0.007575250258771912,-4.19403459199968e-18,-4.637996011745844e-18,0.9924247497412281
0.008026433522257174,-4.260445932323493e-18,-4.8224948051278536e-18,0.9919735664777428
0.008504489341802677,-4.330146419745301e-18,-5.013787074928131e-18,0.9914955106581973
0.009011018251665018,-4.402216773910538e-18,-5.2105079076798764e-18,0.9909889817483349
0.009547716114208056,-4.475867778857803e-18,-5.41168867058343e-18,0.990452283885792
0.01011637979766207,-4.550508496501014e-18,-5.6168791172896405e-18,0.9898836202023379
0.010718913192051276,-4.6257978056891884e-18,-5.826232478190312e-18,0.9892810868079487
0.01135733358343105,-4.701674778553986e-18,-6.040543661387339e-18,0.988642666416569
0.012033778407775893,-4.778365146125225e-18,-6.261234522590212e-18,0.9879662215922267
0.012750512407130129,-4.856363281750422e-18,-6.490285101367532e-18,0.9872494875928716
0.013509935211980266,-4.936391523323281e-18,-6.730115242880617e-18,0.9864900647880205
0.014314589375234785,-5.0193409884274806e-18,-6.98342646240451e-18,0.9856854106247653
0.015167168884709226,-5.1062000161088215e-18,-7.253018548460802e-18,0.9848328311152904
0.016070528182616384,-5.197977722430743e-18,-7.541598574268245e-18,0.9839294718173831
0.017027691722258997,-5.295630673012257e-18,-7.851601181403676e-18,0.9829723082777404
0.018041864093920727,-5.4000002402084104e-18,-8.18503793472587e-18,0.9819581359060786
0.019116440753857027,-5.5117668350999516e-18,-8.543390242247224e-18,0.9808835592461423
0.020255019392306676,-5.631425030949315e-18,-8.92755513037759e-18,0.9797449806076927
0.021461411978584047,-5.759280900159034e-18,-9.33784670939137e-18,0.9785385880214154
0.022739657523579287,-5.895470044066766e-18,-9.774049329234875e-18,0.9772603424764201
0.02409403560239526,-6.0399922216664626e-18,-1.0235512186716046e-17,0.9759059643976042
0.025529080682395178,-6.192756571904548e-18,-1.0721270418831816e-17,0.9744709193176044
0.027049597304631356,-6.353630468398582e-18,-1.1230175199227545e-17,0.9729504026953686
0.028660676169482518,-6.522485179601376e-18,-1.176101538697538e-17,0.9713393238305175
0.03036771118035459,-6.699232673370074e-18,-1.231261577605152e-17,0.9696322888196454
0.03217641750250737,-6.883849857528378e-18,-1.2883901465352012e-17,0.9678235824974926
0.034092850697468126,-7.076388902160108e-18,-1.3473923502679192e-17,0.9659071493025319
0.036123426997094324,-7.276974599444702e-18,-1.40818467872117e-17,0.9638765730029056
0.038274944785163134,-7.485791571762906e-18,-1.470690631403414e-17,0.9617250552148369
0.040554607358408296,-7.70306524900248e-18,-1.5348341491832308e-17,0.9594453926415917
