T,sx,sy,sz
0.01000000000000000020816681711721685132943093776702880859375,-4.535521460369134912068915944240467327154831299504058137735620957741314290339892e-18,-5.575522047545677731593907892164775182189658739970382518336892086662041892841794e-18,0.9899999999999999771013708744627607857425566787535005641921413987394169363576066
0.01123324032978027624263273054339151713065803050994873046875,-4.687214025310506185969723298428926183973937898215045152778177785806494855207459e-18,-5.999407118094887085385940518708749342900863864998332536925276925722145178761733e-18,0.9887667596702197290205297419598737905735673339450304805558072796221518949156206
0.012618568830660203961002707728766836225986480712890625,-4.842213239631722700691769954342977268975330914129642942201663872872614786441048e-18,-6.448382319972660402753385857805228869264083726510861839713742802692701943156017e-18,0.9873814311693397575430039569635881361099908145581378917727444287354430803090825
0.0141747416292680554483762733752882922999560832977294921875,-5.005017114510623540117381084258318322667342952194505165773538005067890070377996e-18,-6.939370104708143345097195476640581225900408514451493735701328141672423132290367e-18,0.9858252583707325859421545099633494662676155689143846649130362634835199215645156
0.0159228279334109219800286183499338221736252307891845703125,-5.182960071917696082674556348872557744933146097692433404670673175522123782680893e-18,-7.494164463152904384150373164235254640157301536976524857123874306656462917994199e-18,0.9840771720665890674390842976482040258562614291244154248264164343137546696555807
0.017886495290574351557655319311379571445286273956298828125,-5.383941814244272001584096799049953718837172546457636733874143519504231891183603e-18,-8.133636499160337666026534941266355459586120032333609331360040978828049656452435e-18,0.9821135047094256345100070589983323760083866748500717870015900185767433214911756
0.0200923300256504698546589082752689137123525142669677734375,-5.614258737339857271296705045088796842166670975296300287041883480945086137795021e-18,-8.872438950531390140739703556046575946841864974481183603084142872512942523218271e-18,0.9799076699743494937670995871754823215556753051753507795958630340808242432381473
0.022570197196339202017068004124666913412511348724365234375,-5.877391592386175809455709336584042935751601450399667324315957305041592090638998e-18,-9.716212116109168797374041793328140574231862934344619559903077888763735529734513e-18,0.977429802803660786172466359147577305628275328547337403646715763423871794602486
0.0253536449397011136308588419296938809566199779510498046875,-6.17411988497038765662587780536584549239571684778375089482028500363633750495585e-18,-1.066213343269215655741001328510017387966398228064304645712849138324126531125938e-17,0.9746463550602988981570418100172147760547225010305028521552511827354078163064602
0.028480358684358018928062250552102341316640377044677734375,-6.503680164217375732456390675309278031138618287777241992082402003762515997608516e-18,-1.170207630496065907962065347918866825868712335290505671099154472665278887369945e-17,0.9715196413156419399160319183504135452801841630411137339824113536444755724651783
0.031992671377973826152274483547444106079638004302978515625,-6.865224043978066945893275498700225759408065169995238730881266210288077154954365e-18,-1.282650036861951254098363849060371062374585896306460330882425626876191409390157e-17,0.968007328622026143847755636180725332564298528295535910185226624241271783133298
0.03593813663804627800413271643265034072101116180419921875,-7.258826073349024609035091190177475350770524885201704063712939844873818105151376e-18,-1.40271084714746964986955510323412695483775724409542762420768406091119062136814e-17,0.9640618633619537202330792945225245072268181021970072762942253865645255070315164
0.0403701725859655358163990968023426830768585205078125,-7.685664247116814522731444167528714157994388918857551484696607650214064442212696e-18,-1.529721951184068018394203821490359176460724451617181632329527190735328215795461e-17,0.9596298274140344110787904977024902104100194366230867141606113341732790954756917
0.045348785081285820919294593522863578982651233673095703125,-8.147707536724348703175933306038997842320497737561336028659155983286990234926878e-18,-1.663024317165774738759785506372416984921293780200355216123414116465773168601677e-17,0.9546512149187141592369875391615534423069991709773865755530307307600710958486383
0.050941380148163774299607808870860026217997074127197265625,-8.64855789266876938073668937940367961531284632843662463762302083352943852012716e-18,-1.801823579899743943864534005116576790665200740915244042962483714311801328304255e-17,0.9490586198518362196636216527759615823400060648436841313868892813246734921640451
0.057223676593502172116334492102396325208246707916259765625,-9.188197902071869779838252988340930489714636509690645664304834748950011529538229e-18,-1.944766908573241861467353694335841793621103930094163892965432442928678609894408e-17,0.942776323406499134562543578902810680684194635817390372874926608554855609175735
0.064280731172843219578538764835684560239315032958984375,-9.774275431905860776415291909059006699834902482503926968782900423195623127397907e-18,-2.090377266987059230789159404082982340982873183236536585308942221470972223699002e-17,0.9357192688272198668314408315811277829413796578758302901233124205275135131835876
0.07220809018385464239653259710394195280969142913818359375,-1.041576410655817929942495220407352548092441696395420654611828160463503529997796e-17,-2.236771329269978293612322005057098293132816191737854975532563810997234383013024e-17,0.9277919098180162579315082004421019407339459369732460112179602692754827687105154
0.0811130830789687229387396882884786464273929595947265625,-1.113631204277633899230558393908836523028215329748263385290351445200055623729751e-17,-2.382981977017702409351446409773661017340633363134575426915592056201727472463098e-17,0.9188869169601747003879150032561651327111478837206572618157916472559272507356779
0.0911162756115489191888201503388700075447559356689453125,-1.181091615492093728973280501027350133748807545947242863794156199777016958780219e-17,-2.51704306006036653774857422050006990235947914383547267379664157660766364154077e-17,0.9088837249749629948426629642252372591000247473979131650911397209094854432924193
0.10235310218990260888727306110013159923255443572998046875,-1.291235482206298538166511364294986905695297750173135309066388190365769895523374e-17,-2.669477741214827051857919817658053641281620719460968755131290610010457653706193e-17,0.8976469043388367746188665041373951383698945986672401083050441824172902744654257
0.11497569953977355983187891297347960062325000762939453125,-1.364533887725787479663250613982363965073874553617159860847851084961769629846833e-17,-2.794794333562976610034971440005276630384429248383611314749811602631695748401643e-17,0.8850243562412085652802125425450139999904699087296485564406112411813038988204605
0.129154966501488388530560769140720367431640625,-1.431985094664886254724516379086565714412244909026134647499729337723856946779649e-17,-2.892634870065649669640348491765012293323516335945374852132313676354540953811873e-17,0.8708454100819175132410861930552130740084483620372273615220133028769708850990805
0.1450828778495939774817458101097145117819309234619140625,-1.607989533314043461788056238998467635603650417692554306478424478972030779653553e-17,-3.055861020512645851352918173897932851501774438828111478863672770400283182495622e-17,0.8549191836518231270963394024057950971879255763374371002755085991500184423542412
0.1629750834620644350803075894873472861945629119873046875,-1.627879442713583935003060325459251245395483456893351987183818850734578090602401e-17,-3.099518768570249513394898484780170058722852189000899529959999633004212328494207e-17,0.8370342803068718245701277353436616128899137213358193812025103755260253430726672
0.1830738280295368392014410119372769258916378021240234375,-1.743721154525031068414183637879811269118650428010645713417742160989993012933503e-17,-3.195004409587915178541037803599740836301663333823827668325436845579216671800902e-17,0.8169621936625096973227234828136116422374555171078570333507545634356089805746245
0.20565123083486513966278153020539321005344390869140625,-1.855750375525787358493283303861531533568009833903407458681552281403564549492452e-17,-3.27669713007627841997617839748400237940197523909386420025237929745807294477651e-17,0.7944682928245410431172580735517776378132948090186789855876023858194539285614234
